,precision,recall,f1-score,support
1950s,0.5416666666666666,0.3011077542799597,0.3870550161812298,993.0
1960s,0.30027932960893855,0.21586345381526104,0.25116822429906543,996.0
1970s,0.22400298173686173,0.5992023928215354,0.326098752034726,1003.0
1980s,0.23956799214531174,0.4865403788634098,0.32105263157894737,1003.0
1990s,0.36923076923076925,0.047856430707876374,0.08473080317740513,1003.0
2000s,0.44206008583690987,0.10248756218905472,0.16639741518578352,1005.0
2010s,0.5652173913043478,0.7890547263681592,0.6586378737541528,1005.0
2020s,0.6311475409836066,0.15555555555555556,0.24959481361426256,990.0
accuracy,0.33770942735683923,0.33770942735683923,0.33770942735683923,0.33770942735683923
macro avg,0.4141465946891766,0.33720853182510147,0.30559194122819655,7998.0
weighted avg,0.41377885605570375,0.33770942735683923,0.305682213888977,7998.0
