,precision,recall,f1-score,support
1950s,0.4700149925037481,0.616519174041298,0.5333900467886006,1017.0
1960s,0.3271794871794872,0.3103112840466926,0.31852221667498753,1028.0
1970s,0.3207920792079208,0.32628398791540786,0.3235147279081378,993.0
1980s,0.2799188640973631,0.2827868852459016,0.28134556574923547,976.0
1990s,0.265179677819083,0.22153209109730848,0.24139875916525663,966.0
2000s,0.2846715328467153,0.27382146439317956,0.2791411042944785,997.0
2010s,0.5333978702807357,0.5521042084168337,0.5425898572131955,998.0
2020s,0.41540256709451573,0.36105476673427994,0.3863266413456321,986.0
accuracy,0.3693003391533727,0.3693003391533727,0.3693003391533727,0.3693003391533727
macro avg,0.3620696338786962,0.3680517327363627,0.3632786148924405,7961.0
weighted avg,0.36276751650874167,0.3693003391533727,0.3642330789487155,7961.0
