,precision,recall,f1-score,support
1950s,0.47458893871449925,0.6243854473942969,0.5392781316348195,1017.0
1960s,0.3454724409448819,0.3414396887159533,0.34344422700587085,1028.0
1970s,0.3268608414239482,0.30513595166163143,0.315625,993.0
1980s,0.2898089171974522,0.2797131147540984,0.2846715328467153,976.0
1990s,0.2813299232736573,0.2277432712215321,0.2517162471395881,966.0
2000s,0.34507042253521125,0.3440320962888666,0.34455047714716225,997.0
2010s,0.5750682438580528,0.6332665330661322,0.6027658559847401,998.0
2020s,0.4380069524913094,0.38336713995943206,0.40886965927528396,986.0
accuracy,0.3937947494033413,0.3937947494033413,0.3937947494033413,0.3937947494033413
macro avg,0.3845258350548766,0.39238540538274286,0.38636514137927247,7961.0
weighted avg,0.3852307270894868,0.3937947494033413,0.38740636792661776,7961.0
