,precision,recall,f1-score,support
1950s,0.38910012674271227,0.6037364798426745,0.47321772639691717,1017.0
1960s,0.2781954887218045,0.17996108949416342,0.21854695806261076,1028.0
1970s,0.21810699588477367,0.26686807653575023,0.24003623188405798,993.0
1980s,0.24651162790697675,0.16290983606557377,0.19617520049352252,976.0
1990s,0.23055555555555557,0.08592132505175984,0.12518853695324283,966.0
2000s,0.2773892773892774,0.35807422266800404,0.3126094570928196,997.0
2010s,0.5282017252820173,0.7975951903807615,0.6355289421157685,998.0
2020s,0.45454545454545453,0.32454361054766734,0.378698224852071,986.0
accuracy,0.34907674915211656,0.34907674915211656,0.34907674915211656,0.34907674915211656
macro avg,0.3278257815035715,0.3474512288232944,0.32250015973137636,7961.0
weighted avg,0.32828492693018346,0.34907674915211656,0.3235786664904696,7961.0
