,precision,recall,f1-score,support
1950s,0.4302839116719243,0.6712598425196851,0.5244136870434448,1016.0
1960s,0.3491329479768786,0.2940603700097371,0.3192389006342495,1027.0
1970s,0.27565733672603904,0.32729103726082576,0.2992633517495396,993.0
1980s,0.24798567591763654,0.2838114754098361,0.2646918299092212,976.0
1990s,0.2575187969924812,0.1421161825726141,0.18315508021390375,964.0
2000s,0.28402366863905326,0.192964824120603,0.22980251346499103,995.0
2010s,0.486013986013986,0.6963927855711423,0.5724876441515651,998.0
2020s,0.41312056737588654,0.2379979570990807,0.3020090732339598,979.0
accuracy,0.3577000503271263,0.3577000503271263,0.3577000503271263,0.3577000503271263
macro avg,0.34296711141423564,0.3557368093204405,0.3368827600501093,7948.0
weighted avg,0.3437126838192074,0.3577000503271263,0.33824797949790947,7948.0
