,precision,recall,f1-score,support
1950s,0.4288401253918495,0.672566371681416,0.5237366003062787,1017.0
1960s,0.3484848484848485,0.24610894941634243,0.28848346636259975,1028.0
1970s,0.28802588996763756,0.2688821752265861,0.278125,993.0
1980s,0.2931216931216931,0.2838114754098361,0.2883914627798022,976.0
1990s,0.2757475083056478,0.17184265010351968,0.21173469387755103,966.0
2000s,0.3234100135317997,0.23971915747241726,0.27534562211981567,997.0
2010s,0.4561128526645768,0.874749498997996,0.5995879120879121,998.0
2020s,0.42300194931773877,0.22008113590263692,0.2895263509006004,986.0
accuracy,0.37382238412259766,0.37382238412259766,0.37382238412259766,0.37382238412259766
macro avg,0.354593110098224,0.37222017677634384,0.34436638855432,7961.0
weighted avg,0.3551767037421894,0.37382238412259766,0.345404639667909,7961.0
